Epoch,CalculatedHashRate,RealHashRate,RealDuration
0,1000,1000,600000
1,1000,1100,545454
2,1100,1210,545454
3,1210,1331,545454
4,1331,1464,545491
5,1464,1610,545590
6,1610,1771,545454
7,1771,1948,545482
8,1948,2142,545658
9,2142,2356,545500
10,2356,2591,545580
11,2591,2850,545473
12,2850,3135,545454
13,3135,3448,545533
14,3448,3792,545569
15,3792,4171,545480
16,4171,4588,545466
17,4588,5046,545541
18,5046,5550,545513
19,5550,6105,545454
20,6105,6715,545495
21,6715,7386,545491
22,7386,8124,545494
23,8124,8936,545478
24,8936,9829,545487
25,9829,10811,545499
26,10811,11892,545459
27,11892,13081,545462
28,13081,14389,545458
29,14389,15827,545485
30,15827,17409,545476
31,17409,19149,545480
32,19149,21063,545477
33,21063,23169,545461
34,23169,25485,545473
35,25485,28033,545464
36,28033,30836,545459
37,30836,33919,545464
38,33919,37310,545467
39,37310,41041,545454
40,41041,45145,545455
41,45145,49659,545460
42,49659,54624,545463
43,54624,60086,545458
44,60086,66094,545459
45,66094,72703,545457
46,72703,79973,545456
47,79973,87970,545456
48,87970,96767,545454
49,96767,106443,545458
50,106443,117087,545455
51,117087,128795,545457
52,128795,141674,545456
53,141674,155841,545455
54,155841,171425,545454
55,171425,188567,545455
56,188567,207423,545456
57,207423,228165,545455
58,228165,250981,545455
59,250981,276079,545454
60,276079,303686,545456
61,303686,334054,545455
62,334054,367459,545455
63,367459,404204,545455
64,404204,444624,545455
65,444624,489086,545454
66,489086,537994,545455
67,537994,591793,545454
68,591793,650972,545454
69,650972,716069,545454
70,716069,787675,545455
71,787675,866442,545454
72,866443,953086,545455
73,953086,1048394,545454
74,1048395,1153233,545455
75,1153233,1268556,545454
76,1268557,1395411,545455
77,1395411,1534952,545454
78,1534953,1688447,545454
79,1688449,1857291,545455
80,1857292,2043020,545454
81,2043023,2247322,545455
82,2247323,2472054,545454
83,2472057,2719259,545455
84,2719260,2991184,545454
85,2991188,3290302,545455
86,3290304,3619332,545454
87,3619338,3981265,545455
88,3981268,4379391,545455
89,4379391,4817330,545454
90,4817334,5299063,545454
91,5299072,5828969,545455
92,5828974,6411865,545455
93,6411866,7053051,545454
94,7053059,7758356,545455
95,7758358,8534191,545454
96,8534202,9387610,545455
97,9387614,10326371,545454
98,10326385,11359008,545455
99,11359014,12494908,545454
100,12494927,13744398,545455
101,13744408,15118837,545454
102,15118863,16630720,545455
103,16630735,18293792,545455
104,18293793,20123171,545454
105,20123192,22135488,545455
106,22135492,24349036,545454
107,24349065,26783939,545455
108,26783949,29462332,545454
109,29462373,32408565,545455
110,32408583,35649421,545454
111,35649476,39214363,545455
112,39214390,43135799,545454
113,43135872,47449378,545455
114,47449419,52194315,545455
115,52194317,57413746,545454
116,57413806,63155120,545455
117,63155133,69470632,545454
118,69470715,76417695,545455
119,76417722,84059464,545454
120,84059578,92465410,545455
121,92465458,101711951,545454
122,101712105,111883146,545455
123,111883222,123071460,545454
124,123071667,135378606,545455
125,135378720,148916466,545455
126,148916467,163808112,545454
127,163808277,180188923,545455
128,180188954,198207815,545454
129,198208047,218028596,545455
130,218028670,239831455,545454
131,239831776,263814600,545455
132,263814733,290196060,545454
133,290196496,319215666,545455
134,319215879,351137232,545454
135,351137818,386250955,545455
136,386251277,424876050,545455
137,424876050,467363655,545454
138,467364122,514100020,545455
139,514100105,565510022,545454
140,565510681,622061024,545455
141,622061230,684267126,545454
142,684268037,752693838,545455
143,752694213,827963221,545454
144,827964462,910759543,545455
145,910760149,1001835497,545454
146,1001837165,1102019046,545455
147,1102019963,1212220950,545454
148,1212223171,1333443045,545455
149,1333444376,1466787349,545455
150,1466787591,1613466083,545454
151,1613467963,1774812691,545455
152,1774813280,1952293960,545454
153,1952296560,2147523356,545455
154,2147524426,2362275691,545454
155,2362279230,2598503260,545455
156,2598504987,2858353586,545454
157,2858358344,3144188944,545455
158,3144191558,3458607838,545454
159,3458614172,3804468621,545455
160,3804472418,4184915483,545455
161,4184916172,4603407031,545454
162,4603412392,5063747734,545455
163,5063749411,5570122507,545454
164,5570129922,6127134757,545455
165,6127137808,6739848232,545454
166,6739858328,7413833055,545455
167,7413837982,8155216360,545454
168,8155229935,8970737996,545455
169,8970745452,9867811795,545454
170,9867829865,10854592974,545455
171,10854603805,11940052271,545455
172,11940054235,13134057498,545454
173,13134072792,14447463247,545455
174,14447468031,15892209571,545454
175,15892230726,17481430528,545455
176,17481439230,19229573580,545454
177,19229602382,21152530938,545455
178,21152544993,23267784031,545454
179,23267822760,25594562434,545455
180,25594583707,28154018677,545454
181,28154070231,30969420544,545455
182,30969451446,34066362598,545455
183,34066368201,37472998857,545454
184,37473042494,41220298742,545455
185,41220312393,45342328616,545454
186,45342388974,49876561477,545455
187,49876586307,54864217624,545454
188,54864299801,60350639386,545455
189,60350679488,66385703324,545454
190,66385813822,73024273656,545455
191,73024334350,80326701021,545454
192,80326848111,88359371123,545455
193,88359459289,97195308235,545455
194,97195324221,106914839058,545454
195,106914963558,117606322963,545455
196,117606361908,129366955259,545454
197,129367127465,142303650784,545455
198,142303721625,156534015862,545454
199,156534250321,172187417448,545455
200,172187531863,189406159192,545454
201,189406474455,208346775111,545455
202,208346948278,229181452622,545454
203,229181872287,252099597884,545455
204,252099849432,277309557672,545455
205,277309603283,305040513439,545454
206,305040868652,335544564782,545455
207,335544675896,369099021260,545454
208,369099512585,406008923386,545455
209,406009125502,446609815724,545454
210,446610484662,491270797296,545455
211,491271123735,540397877025,545454
212,540398776507,594437664727,545455
213,594438158792,653881431199,545454
214,653882628553,719269574318,545455
215,719270292016,791196531749,545455
216,791196661887,870316184923,545454
217,870317198392,957347803415,545455
218,957348120441,1053082583756,545454
219,1053083985569,1158390842131,545455
220,1158391418799,1274229926344,545454
221,1274231834910,1401652918978,545455
222,1401653850356,1541818210875,545454
223,1541820777212,1696000031962,545455
224,1696001441598,1865600035158,545454
225,1865603451361,2052160038673,545455
226,2052162086362,2257376042540,545455
227,2257376413851,2483113646794,545454
