Epoch,CalculatedHashRate,RealHashRate,RealDuration
0,1,1,600000
1,1,1,600000
2,1,1,600000
3,1,1,600000
4,1,1,600000
5,1,1,600000
6,1,1,600000
7,1,1,600000
8,1,1,600000
9,1,1,600000
10,1,1,600000
11,1,1,600000
12,1,1,600000
13,1,1,600000
14,1,1,600000
15,1,1,600000
16,1,1,600000
17,1,1,600000
18,1,1,600000
19,1,1,600000
20,1,2,300000
21,2,3,400000
22,3,4,450000
23,4,4,600000
24,4,6,400000
25,6,7,514285
26,7,11,381818
27,11,12,550000
28,12,11,654545
29,11,16,412500
30,16,17,564705
31,17,19,536842
32,19,23,495652
33,23,45,306666
34,45,181,149171
35,181,244,445081
36,244,352,415909
37,352,511,413307
38,511,623,492134
39,623,712,525000
40,712,917,465866
41,917,1318,417450
42,1318,1378,573875
43,1378,2149,384737
44,2149,3091,417146
45,3091,4536,408862
46,4536,6866,396387
47,6866,8078,509977
48,8078,12251,395624
49,12251,14484,507497
50,14484,16307,532924
51,16307,18437,530682
52,18437,22012,502553
53,22012,25997,508027
54,25997,36459,427828
55,36459,55589,393520
56,55589,76192,437754
57,76192,68977,662760
58,68977,82345,502595
59,82345,92347,535014
60,92347,109670,505226
61,109670,157416,418013
62,157416,244112,386910
63,244112,434877,336801
64,434877,567269,459969
65,567269,876954,388117
66,876955,1379192,381508
67,1379192,1563027,529431
68,1563027,1690895,554627
69,1690895,1888786,537137
70,1888786,1805700,627607
71,1805702,1777774,609425
72,1777776,1755425,607639
73,1755426,1689334,623473
74,1689336,1468195,690372
75,1468196,1203461,731986
76,1203462,1192497,605516
77,1192498,1090715,655990
78,1090716,1155038,566587
79,1155038,1159929,597470
80,1159929,1250757,556428
81,1250759,1307728,573861
82,1307730,1379647,568723
83,1379648,1376302,601458
84,1376303,1496978,551632
85,1496979,1498294,599473
86,1498295,1626553,552688
87,1626554,1577913,618495
88,1577914,1508589,627572
89,1508589,1733207,522241
90,1733210,1591074,653600
91,1591074,1583177,602992
92,1583179,1726566,550171
93,1726567,1751454,591474
94,1751455,1866391,563050
95,1866393,2036671,549836
96,2036672,2190865,557772
97,2190865,2440642,538595
98,2440644,2694047,543563
99,2694050,2864140,564368
100,2864141,3054627,562584
101,3054627,3072321,596544
102,3072323,3304356,557867
103,3304360,3368767,588528
104,3368770,3438908,587762
105,3438912,3370181,612236
106,3370182,2979636,678643
107,2979636,3249549,550162
108,3249554,2968775,656746
109,2968776,3275464,543820
110,3275469,3651011,538284
111,3651012,4367876,501526
112,4367883,4847647,540618
113,4847655,6695826,434388
114,6695841,7672999,523589
115,7673011,8974296,512999
116,8974299,10076292,534381
117,10076292,11187257,540416
118,11187261,12153411,552302
119,12153417,15605632,467270
120,15605645,19339258,484164
121,19339287,21335329,543866
122,21335351,26162875,489289
123,26162882,31256960,502215
124,31256989,37392766,501546
125,37392768,50810339,441556
126,50810453,65750060,463669
127,65750075,86933017,453798
128,86933051,112628548,463113
129,112628733,148819199,454089
130,148819371,189281249,471740
131,189281431,267731249,424189
132,267731738,390928787,410916
133,390929150,510929738,459079
134,510930558,609482679,502981
135,609482932,707408283,516942
136,707409649,908350862,467270
137,908352321,1180923195,461512
138,1180925723,1418481395,499516
139,1418483960,1789546951,475589
140,1789550170,2193847870,489427
141,2193851385,2621404453,502139
142,2621407281,3129573174,502574
143,3129577671,3815723798,492107
144,3815728292,4250217919,538663
145,4250221335,5006860589,509327
146,5006867495,6119726089,490891
147,6119730239,6978842649,526138
148,6978849927,8000872135,523356
149,8000882680,8853416309,542223
150,8853423052,10455720138,508052
151,10455728608,11756551916,533611
152,11756573917,13462580114,523966
153,13462599386,16818461371,480279
154,16818473494,17336316978,582077
155,17336338828,18736441558,555164
156,18736451385,19729645940,569795
157,19729676165,23844670038,496455
158,23844670109,27428630902,521601
159,27428632355,29829733124,551703
160,29829780539,34661425923,516362
161,34661474553,35002482026,594154
162,35002515731,35985640265,583608
163,35985643511,39603666252,545186
164,39603706086,40300030327,589632
165,40300091670,40007470271,604388
166,40007503461,39457671307,608360
167,39457725814,40640955016,582531
168,40640988185,43971662056,554552
169,43971697714,41272873894,639233
170,41272929633,44455415962,557047
171,44455418985,46684376316,571352
172,46684445649,47427554950,590599
173,47427556412,46717549644,609118
174,46717604548,49446390688,566887
175,49446472981,47610564513,623136
176,47610607938,47643398017,599587
177,47643402480,48807487244,585689
178,48807543744,47589591153,615355
179,47589645402,49692386354,574610
180,49692464873,49402014931,603527
181,49402063078,51076366303,580331
182,51076433702,52278304845,586206
183,52278312097,52699842409,595200
184,52699911388,54256630327,582784
185,54256717467,56957648455,571548
186,56957649191,59335351233,575956
187,59335417140,60813224039,585419
188,60813281229,60883825480,599304
189,60883906560,62253982449,586795
190,62254013643,65848255179,567249
191,65848345586,72722780642,543282
192,72722835197,79102380900,551610
193,79102447595,93448670796,507888
194,93448690571,103880340815,539748
195,103880355911,113354299801,549853
196,113354321148,120033340651,566614
197,120033378435,144116447847,499734
198,144116724219,163491654908,528895
199,163491873682,158427203767,619181
200,158427219519,165496835118,574369
201,165496974438,178678307671,555737
534704
