Epoch,CalculatedHashRate,RealHashRate,RealDuration
0,1000,1000,600000
1,1000,1000,600000
2,1000,1200,500000
3,1266,1000,759600
4,1100,1200,550000
5,1200,1000,720000
6,1000,1200,500000
7,1200,1000,720000
8,1000,1200,500000
9,1200,1000,720000
10,1000,1200,500000
11,1200,1000,720000
12,1000,1200,500000
13,1200,1000,720000
14,1000,1200,500000
15,1200,1000,720000
16,1000,1200,500000
17,1200,1000,720000
18,1000,1200,500000
19,1200,1000,720000
20,1000,1200,500000
21,1200,1000,720000
22,1000,1200,500000
23,1200,1000,720000
24,1000,1200,500000
25,1200,1000,720000
26,1000,1200,500000
27,1200,1000,720000
28,1000,1200,500000
29,1200,1000,720000
30,1000,1200,500000
31,1200,1000,720000
32,1000,1200,500000
33,1200,1000,720000
34,1000,1200,500000
35,1200,1000,720000
36,1000,1200,500000
37,1200,1000,720000
38,1000,1200,500000
39,1200,1000,720000
40,1000,1200,500000
41,1200,1000,720000
42,1000,1200,500000
43,1200,1000,720000
44,1000,1200,500000
45,1200,1000,720000
46,1000,1200,500000
47,1200,1000,720000
48,1000,1200,500000
49,1200,1000,720000
50,1000,1200,500000
51,1200,1000,720000
52,1000,1200,500000
53,1200,1000,720000
54,1000,1200,500000
55,1200,1000,720000
56,1000,1200,500000
57,1200,1000,720000
58,1000,1200,500000
59,1200,1000,720000
60,1000,1200,500000
61,1200,1000,720000
62,1000,1200,500000
63,1200,1000,720000
64,1000,1200,500000
65,1200,1000,720000
66,1000,1200,500000
67,1200,1000,720000
68,1000,1200,500000
69,1200,1000,720000
70,1000,1200,500000
71,1200,1000,720000
72,1000,1200,500000
73,1200,1000,720000
74,1000,1200,500000
75,1200,1000,720000
76,1000,1200,500000
77,1200,1000,720000
78,1000,1200,500000
79,1200,1000,720000
80,1000,1200,500000
81,1200,1000,720000
82,1000,1200,500000
83,1200,1000,720000
84,1000,1200,500000
85,1200,1000,720000
86,1000,1200,500000
87,1200,1000,720000
88,1000,1200,500000
89,1200,1000,720000
90,1000,1200,500000
91,1200,1000,720000
92,1000,1200,500000
93,1200,1000,720000
94,1000,1200,500000
95,1200,1000,720000
96,1000,1200,500000
97,1200,1000,720000
98,1000,1200,500000
99,1200,1000,720000
100,1000,1200,500000
101,1200,1000,720000
102,1000,1200,500000
103,1200,1000,720000
104,1000,1200,500000
105,1200,1000,720000
106,1000,1200,500000
107,1200,1000,720000
108,1000,1200,500000
109,1200,1000,720000
110,1000,1200,500000
111,1200,1000,720000
112,1000,1200,500000
113,1200,1000,720000
114,1000,1200,500000
115,1200,1000,720000
116,1000,1200,500000
117,1200,1000,720000
118,1000,1200,500000
119,1200,1000,720000
120,1000,1200,500000
121,1200,1000,720000
122,1000,1200,500000
123,1200,1000,720000
124,1000,1200,500000
125,1200,1000,720000
126,1000,1200,500000
127,1200,1000,720000
128,1000,1200,500000
129,1200,1000,720000
130,1000,1200,500000
131,1200,1000,720000
132,1000,1200,500000
133,1200,1000,720000
134,1000,1200,500000
135,1200,1000,720000
136,1000,1200,500000
137,1200,1000,720000
138,1000,1200,500000
139,1200,1000,720000
140,1000,1200,500000
141,1200,1000,720000
142,1000,1200,500000
143,1200,1000,720000
144,1000,1200,500000
145,1200,1000,720000
146,1000,1200,500000
147,1200,1000,720000
148,1000,1200,500000
149,1200,1000,720000
150,1000,1200,500000
151,1200,1000,720000
152,1000,1200,500000
153,1200,1000,720000
154,1000,1200,500000
155,1200,1000,720000
156,1000,1200,500000
157,1200,1000,720000
158,1000,1200,500000
159,1200,1000,720000
160,1000,1200,500000
161,1200,1000,720000
162,1000,1200,500000
163,1200,1000,720000
164,1000,1200,500000
165,1200,1000,720000
166,1000,1200,500000
167,1200,1000,720000
168,1000,1200,500000
169,1200,1000,720000
170,1000,1200,500000
171,1200,1000,720000
172,1000,1200,500000
173,1200,1000,720000
174,1000,1200,500000
175,1200,1000,720000
176,1000,1200,500000
177,1200,1000,720000
178,1000,1200,500000
179,1200,1000,720000
180,1000,1200,500000
181,1200,1000,720000
182,1000,1200,500000
183,1200,1000,720000
184,1000,1200,500000
185,1200,1000,720000
186,1000,1200,500000
187,1200,1000,720000
188,1000,1200,500000
189,1200,1000,720000
190,1000,1200,500000
191,1200,1000,720000
192,1000,1200,500000
193,1200,1000,720000
194,1000,1200,500000
195,1200,1000,720000
196,1000,1200,500000
197,1200,1000,720000
198,1000,1200,500000
199,1200,1000,720000
200,1000,1200,500000
201,1200,1000,720000
610344
