Epoch,CalculatedHashRate,RealHashRate,RealDuration
0,1000,1000,600000
1,1000,1100,545454
2,1200,1210,595041
3,1313,1331,591885
4,1436,1464,588524
5,1579,1610,588447
6,1737,1771,588481
7,1910,1948,588295
8,2101,2142,588515
9,2311,2356,588539
10,2541,2591,588421
11,2795,2850,588421
12,3074,3135,588325
13,3382,3448,588515
14,3720,3792,588607
15,4091,4171,588491
16,4499,4588,588360
17,4949,5046,588466
18,5444,5550,588540
19,5987,6105,588402
20,6586,6715,588473
21,7244,7386,588464
22,7968,8124,588478
23,8764,8936,588451
24,9640,9829,588462
25,10604,10811,588511
26,11663,11892,588446
27,12829,13081,588441
28,14112,14389,588449
29,15524,15827,588513
30,17075,17409,588488
31,18782,19149,588500
32,20659,21063,588491
33,22724,23169,588475
34,24996,25485,588487
35,27495,28033,588484
36,30244,30836,588480
37,33268,33919,588484
38,36594,37310,588485
39,40253,41041,588479
40,44278,45145,588477
41,48706,49659,588485
42,53576,54624,588488
43,58933,60086,588486
44,64825,66094,588480
45,71307,72703,588479
46,78438,79973,588483
47,86281,87970,588480
48,94909,96767,588479
49,104400,106443,588483
50,114840,117087,588485
51,126323,128795,588484
52,138955,141674,588484
53,152850,155841,588484
54,168134,171425,588481
55,184948,188567,588484
56,203442,207423,588484
57,223786,228165,588484
58,246164,250981,588484
59,270780,276079,588483
60,297858,303686,588485
61,327643,334054,588485
62,360406,367459,588483
63,396446,404204,588484
64,436090,444624,588483
65,479699,489086,588484
66,527668,537994,588483
67,580435,591793,588484
68,638478,650972,588484
69,702325,716069,588483
70,772558,787675,588484
71,849814,866442,588485
72,934794,953086,588484
73,1028272,1048394,588484
74,1131099,1153233,588484
75,1244209,1268556,588484
76,1368629,1395411,588484
77,1505492,1534952,588484
78,1656041,1688447,588484
79,1821645,1857291,588484
80,2003810,2043020,588484
81,2204192,2247322,588484
82,2424612,2472054,588485
83,2667070,2719259,588484
84,2933777,2991184,588484
85,3227155,3290302,588484
86,3549872,3619332,588485
87,3904855,3981265,588484
88,4295341,4379391,588484
89,4724877,4817330,588484
90,5197368,5299063,588485
91,5717099,5828969,588484
92,6288810,6411865,588484
93,6917694,7053051,588485
94,7609458,7758356,588484
95,8370404,8534191,588484
96,9207448,9387610,588485
97,10128186,10326371,588484
98,11141005,11359008,588484
99,12255112,12494908,588485
100,13480615,13744398,588484
101,14828679,15118837,588484
102,16311557,16630720,588485
103,17942703,18293792,588484
104,19736978,20123171,588485
105,21710656,22135488,588484
106,23881733,24349036,588484
107,26269916,26783939,588485
108,28896892,29462332,588484
109,31786590,32408565,588484
110,34965269,35649421,588485
111,38461778,39214363,588485
112,42307901,43135799,588484
113,46538695,47449378,588484
114,51192597,52194315,588484
115,56311901,57413746,588485
116,61943046,63155120,588484
117,68137383,69470632,588485
118,74951051,76417695,588484
119,82446199,84059464,588484
120,90690861,92465410,588485
121,99759897,101711951,588484
122,109735923,111883146,588485
123,120709401,123071460,588484
124,132780414,135378606,588484
125,146058515,148916466,588485
126,160664288,163808112,588484
127,176730773,180188923,588484
128,194403969,198207815,588485
129,213844276,218028596,588485
130,235228405,239831455,588484
131,258751274,263814600,588484
132,284626589,290196060,588484
133,313089500,319215666,588485
134,344398208,351137232,588484
135,378838223,386250955,588485
136,416721666,424876050,588484
137,458394081,467363655,588484
138,504233735,514100020,588485
139,554656842,565510022,588484
140,610122736,622061024,588485
141,671134385,684267126,588484
142,738248239,752693838,588484
143,812073406,827963221,588485
144,893280322,910759543,588484
145,982608677,1001835497,588485
146,1080868518,1102019046,588484
147,1188956038,1212220950,588484
148,1307852179,1333443045,588485
149,1438636705,1466787349,588484
150,1582500890,1613466083,588484
151,1740752057,1774812691,588485
152,1914826468,1952293960,588485
153,2106306452,2147523356,588484
154,2316937364,2362275691,588484
155,2548632799,2598503260,588484
156,2803498352,2858353586,588485
157,3083846046,3144188944,588484
158,3392232404,3458607838,588485
159,3731452269,3804468621,588484
160,4104599745,4184915483,588484
161,4515061945,4603407031,588485
162,4966565777,5063747734,588484
163,5463224262,5570122507,588485
164,6009541120,6127134757,588484
165,6610498983,6739848232,588484
166,7271551975,7413833055,588485
167,7998703401,8155216360,588484
168,8798576665,8970737996,588485
169,9678425163,9867811795,588484
170,10646273690,10854592974,588484
171,11710905890,11940052271,588485
172,12881990311,13134057498,588484
173,14170193980,14447463247,588485
174,15587198507,15892209571,588484
175,17145927973,17481430528,588484
176,18860528481,19229573580,588485
177,20746571326,21152530938,588484
178,22821235875,23267784031,588484
179,25103374994,25594562434,588485
180,27613701025,28154018677,588485
181,30375032734,30969420544,588484
182,33412539862,34066362598,588484
183,36753818347,37472998857,588484
184,40429232971,41220298742,588485
185,44472125403,45342328616,588484
186,48919363252,49876561477,588485
187,53811250928,54864217624,588484
188,59192408481,60350639386,588484
189,65111681449,66385703324,588485
190,71622815557,73024273656,588484
191,78785124655,80326701021,588485
192,86663556849,88359371123,588484
193,95329966661,97195308235,588484
194,104863007972,106914839058,588485
195,115349254411,117606322963,588484
196,126884222044,129366955259,588485
197,139572512055,142303650784,588484
198,153529849968,156534015862,588484
199,168882904673,172187417448,588485
200,185771106226,189406159192,588484
201,204348283771,208346775111,588485
588374
