Epoch,CalculatedHashRate,RealHashRate,RealDuration
0,1000,1000,600000
1,1000,1100,545454
2,1200,1200,600000
3,1300,1300,600000
4,1400,1400,600000
5,1500,1500,600000
6,1600,1600,600000
7,1700,1700,600000
8,1800,1800,600000
9,1900,1900,600000
10,2000,2000,600000
11,2100,2100,600000
12,2200,2200,600000
13,2300,2300,600000
14,2400,2400,600000
15,2500,2500,600000
16,2600,2600,600000
17,2700,2700,600000
18,2800,2800,600000
19,2900,2900,600000
20,3000,3000,600000
21,3100,3100,600000
22,3200,3200,600000
23,3300,3300,600000
24,3400,3400,600000
25,3500,3500,600000
26,3600,3600,600000
27,3700,3700,600000
28,3800,3800,600000
29,3900,3900,600000
30,4000,4000,600000
31,4100,4100,600000
32,4200,4200,600000
33,4300,4300,600000
34,4400,4400,600000
35,4500,4500,600000
36,4600,4600,600000
37,4700,4700,600000
38,4800,4800,600000
39,4900,4900,600000
40,5000,5000,600000
41,5100,5100,600000
42,5200,5200,600000
43,5300,5300,600000
44,5400,5400,600000
45,5500,5500,600000
46,5600,5600,600000
47,5700,5700,600000
48,5800,5800,600000
49,5900,5900,600000
50,6000,6000,600000
51,6100,6100,600000
52,6200,6200,600000
53,6300,6300,600000
54,6400,6400,600000
55,6500,6500,600000
56,6600,6600,600000
57,6700,6700,600000
58,6800,6800,600000
59,6900,6900,600000
60,7000,7000,600000
61,7100,7100,600000
62,7200,7200,600000
63,7300,7300,600000
64,7400,7400,600000
65,7500,7500,600000
66,7600,7600,600000
67,7700,7700,600000
68,7800,7800,600000
69,7900,7900,600000
70,8000,8000,600000
71,8100,8100,600000
72,8200,8200,600000
73,8300,8300,600000
74,8400,8400,600000
75,8500,8500,600000
76,8600,8600,600000
77,8700,8700,600000
78,8800,8800,600000
79,8900,8900,600000
80,9000,9000,600000
81,9100,9100,600000
82,9200,9200,600000
83,9300,9300,600000
84,9400,9400,600000
85,9500,9500,600000
86,9600,9600,600000
87,9700,9700,600000
88,9800,9800,600000
89,9900,9900,600000
90,10000,10000,600000
91,10100,10100,600000
92,10200,10200,600000
93,10300,10300,600000
94,10400,10400,600000
95,10500,10500,600000
96,10600,10600,600000
97,10700,10700,600000
98,10800,10800,600000
99,10900,10900,600000
100,11000,11000,600000
101,11100,11100,600000
102,11200,11200,600000
103,11300,11300,600000
104,11400,11400,600000
105,11500,11500,600000
106,11600,11600,600000
107,11700,11700,600000
108,11800,11800,600000
109,11900,11900,600000
110,12000,12000,600000
111,12100,12100,600000
112,12200,12200,600000
113,12300,12300,600000
114,12400,12400,600000
115,12500,12500,600000
116,12600,12600,600000
117,12700,12700,600000
118,12800,12800,600000
119,12900,12900,600000
120,13000,13000,600000
121,13100,13100,600000
122,13200,13200,600000
123,13300,13300,600000
124,13400,13400,600000
125,13500,13500,600000
126,13600,13600,600000
127,13700,13700,600000
128,13800,13800,600000
129,13900,13900,600000
130,14000,14000,600000
131,14100,14100,600000
132,14200,14200,600000
133,14300,14300,600000
134,14400,14400,600000
135,14500,14500,600000
136,14600,14600,600000
137,14700,14700,600000
138,14800,14800,600000
139,14900,14900,600000
140,15000,15000,600000
141,15100,15100,600000
142,15200,15200,600000
143,15300,15300,600000
144,15400,15400,600000
145,15500,15500,600000
146,15600,15600,600000
147,15700,15700,600000
148,15800,15800,600000
149,15900,15900,600000
150,16000,16000,600000
151,16100,16100,600000
152,16200,16200,600000
153,16300,16300,600000
154,16400,16400,600000
155,16500,16500,600000
156,16600,16600,600000
157,16700,16700,600000
158,16800,16800,600000
159,16900,16900,600000
160,17000,17000,600000
161,17100,17100,600000
162,17200,17200,600000
163,17300,17300,600000
164,17400,17400,600000
165,17500,17500,600000
166,17600,17600,600000
167,17700,17700,600000
168,17800,17800,600000
169,17900,17900,600000
170,18000,18000,600000
171,18100,18100,600000
172,18200,18200,600000
173,18300,18300,600000
174,18400,18400,600000
175,18500,18500,600000
176,18600,18600,600000
177,18700,18700,600000
178,18800,18800,600000
179,18900,18900,600000
180,19000,19000,600000
181,19100,19100,600000
182,19200,19200,600000
183,19300,19300,600000
184,19400,19400,600000
185,19500,19500,600000
186,19600,19600,600000
187,19700,19700,600000
188,19800,19800,600000
189,19900,19900,600000
190,20000,20000,600000
191,20100,20100,600000
192,20200,20200,600000
193,20300,20300,600000
194,20400,20400,600000
195,20500,20500,600000
196,20600,20600,600000
197,20700,20700,600000
198,20800,20800,600000
199,20900,20900,600000
200,21000,21000,600000
201,21100,21100,600000
599729
