Epoch,CalculatedHashRate,RealHashRate,RealDuration
0,1,1,600000
1,1,1,600000
2,1,1,600000
3,1,1,600000
4,1,1,600000
5,1,1,600000
6,1,1,600000
7,1,1,600000
8,1,1,600000
9,1,1,600000
10,1,1,600000
11,1,1,600000
12,1,1,600000
13,1,1,600000
14,1,1,600000
15,1,1,600000
16,1,1,600000
17,1,1,600000
18,1,1,600000
19,1,1,600000
20,1,2,300000
21,2,3,400000
22,3,4,450000
23,5,4,750000
24,5,6,500000
25,6,7,514285
26,8,11,436363
27,12,12,600000
28,14,11,763636
29,13,16,487500
30,16,17,564705
31,19,19,600000
32,22,23,573913
33,24,45,320000
34,48,181,159116
35,194,244,477049
36,323,352,550568
37,451,511,529549
38,596,623,573996
39,756,712,637078
40,847,917,554198
41,1017,1318,462974
42,1465,1378,637880
43,1681,2149,469334
44,2379,3091,461792
45,3506,4536,463756
46,5392,6866,471191
47,8059,8078,598588
48,9965,12251,488041
49,14022,14484,580861
50,17176,16307,631973
51,19510,18437,634918
52,20465,22012,557832
53,23988,25997,553633
54,28849,36459,474763
55,40239,55589,434319
56,62812,76192,494634
57,90988,68977,791463
58,88843,82345,647347
59,89039,92347,578507
60,95423,109670,522055
61,121355,157416,462551
62,171078,244112,420490
63,276646,434877,381688
64,502098,567269,531068
65,705999,876954,483034
66,1038533,1379192,451800
67,1600232,1563027,614281
68,1968991,1690895,698680
69,2033932,1888786,646107
70,2044639,1805700,679394
71,1968581,1777774,664397
72,1835178,1755425,627259
73,1699919,1689334,603759
74,1664197,1468195,680099
75,1423975,1203461,709939
76,1059846,1192497,533257
77,949560,1090715,522350
78,952867,1155038,494979
79,1098666,1159929,568310
80,1141200,1250757,547444
81,1285364,1307728,589739
82,1355587,1379647,589536
83,1453547,1376302,633675
84,1440747,1496978,577462
85,1531265,1498294,613203
86,1556960,1626553,574328
87,1687550,1577913,641689
88,1642701,1508589,653339
89,1548398,1733207,536022
90,1674227,1591074,631357
91,1668722,1583177,632420
92,1624419,1726566,564502
93,1651551,1751454,565775
94,1819204,1866391,584830
95,1950532,2036671,574623
96,2106585,2190865,576918
97,2333475,2440642,573654
98,2602880,2694047,579695
99,2896036,2864140,606681
100,3115735,3054627,612003
101,3266377,3072321,637897
102,3252611,3304356,590604
103,3408447,3368767,607067
104,3493633,3438908,609548
105,3587130,3370181,638623
106,3437460,2979636,692190
107,2980346,3249549,550294
108,3019914,2968775,610335
109,2908458,3275464,532771
110,3270037,3651011,537391
111,3663973,4367876,503307
112,4708997,4847647,582839
113,5393852,6695826,483332
114,7294150,7672999,570375
115,8836982,8974296,590819
116,10386981,10076292,618500
117,11215529,11187257,601516
118,12388907,12153411,611626
119,13259893,15605632,509811
120,16644216,19339258,516386
121,21548469,21335329,605994
122,24928258,26162875,571686
123,29027720,31256960,557208
124,34668772,37392766,556291
125,42353591,50810339,500137
126,56425331,65750060,514907
127,75526833,86933017,521276
128,101111700,112628548,538646
129,130690058,148819199,526908
130,172258522,189281249,546039
131,220224653,267731249,493535
132,306057759,390928787,469739
133,450385190,510929738,528900
134,611754230,609482679,602236
135,731082439,707408283,620079
136,816685879,908350862,539451
137,1006591519,1180923195,511426
138,1330358039,1418481395,562724
139,1655240886,1789546951,554969
140,2044615292,2193847870,559186
141,2498161256,2621404453,571791
142,3009088917,3129573174,576900
143,3545506220,3815723798,557509
144,4283594598,4250217919,604711
145,4847384839,5006860589,580889
146,5567184531,6119726089,545826
147,6715301384,6978842649,577342
148,7913601957,8000872135,593455
149,8986870271,8853416309,609044
150,9793991103,10455720138,562026
151,11393021471,11756551916,581447
152,12983981874,13462580114,578669
153,14914166722,16818461371,532064
154,18321898105,17336316978,634110
155,19867283767,18736441558,636213
156,20673309659,19729645940,628697
157,20688662355,23844670038,520585
158,25041380413,27428630902,547779
159,29982762639,29829733124,603078
160,33679215605,34661425923,582997
161,37653977668,35002482026,645450
162,38618951784,35985640265,643906
163,38572042175,39603666252,584370
164,40265808409,40300030327,599490
165,42600655192,40007470271,638890
166,42164712773,39457671307,641163
167,39659607755,40640955016,585511
168,40219847016,43971662056,548805
169,44288494540,41272873894,643839
170,43529900363,44455415962,587508
171,44771398157,46684376316,575413
172,46926312957,47427554950,593658
173,50133402079,46717549644,643870
174,48203649061,49446390688,584920
175,49462962001,47610564513,623344
176,48619982062,47643398017,612298
177,48089961844,48807487244,591179
178,47906037731,47589591153,603989
179,48188106448,49692386354,581836
180,49665560820,49402014931,603200
181,49844557694,51076366303,585529
182,51982654778,52278304845,596606
183,52970362757,52699842409,603079
184,54138070853,54256630327,598688
185,55068456249,56957648455,580098
186,57946912674,59335351233,585960
187,61464270263,60813224039,606423
188,63352588220,60883825480,624329
189,62811609407,62253982449,605374
190,63028265639,65848255179,574304
191,66568708435,72722780642,549225
192,75205122619,79102380900,570438
193,84336933668,93448670796,541496
194,100075902650,103880340815,578026
195,114243314177,113354299801,604705
196,125743348695,120033340651,628542
197,129986166831,144116447847,541171
198,152193062061,163491654908,558535
199,178872765178,158427203767,677432
200,180156375812,165496835118,653147
201,172652258937,178678307671,579764
572313
