Epoch,BitcoinCalculatedDifficulty,RealDifficulty,OurCalculatedDifficulty,BitcoinMistake,OurMistake
0,1,1,1,0,0
1,1,1,1,0,0
2,1,1,1,0,0
3,1,1,1,0,0
4,1,1,1,0,0
5,1,1,1,0,0
6,1,1,1,0,0
7,1,1,1,0,0
8,1,1,1,0,0
9,1,1,1,0,0
10,1,1,1,0,0
11,1,1,1,0,0
12,1,1,1,0,0
13,1,1,1,0,0
14,1,1,1,0,0
15,1,1,1,0,0
16,1,1,1,0,0
17,1,1,1,0,0
18,1,1,1,0,0
19,1,1,1,0,0
20,1,2,1,0.5,0.5
21,2,3,2,0.3333333333,0.3333333333
22,3,4,3,0.25,0.25
23,4,4,5,0,0.25
24,4,6,5,0.3333333333,0.1666666667
25,6,7,6,0.1428571429,0.1428571429
26,7,11,8,0.3636363636,0.2727272727
27,11,12,12,0.0833333333,0
28,12,11,14,0.0909090909,0.2727272727
29,11,16,13,0.3125,0.1875
30,16,17,16,0.0588235294,0.0588235294
31,17,19,19,0.1052631579,0
32,19,23,22,0.1739130435,0.0434782609
33,23,45,24,0.4888888889,0.4666666667
34,45,181,48,0.7513812155,0.7348066298
35,181,244,194,0.2581967213,0.2049180328
36,244,352,323,0.3068181818,0.0823863636
37,352,511,451,0.3111545988,0.1174168297
38,511,623,596,0.1797752809,0.0433386838
39,623,712,756,0.125,0.0617977528
40,712,917,847,0.2235550709,0.0763358779
41,917,1318,1017,0.3042488619,0.2283763278
42,1318,1378,1465,0.0435413643,0.0631349782
43,1378,2149,1681,0.3587715216,0.2177757096
44,2149,3091,2379,0.3047557425,0.2303461663
45,3091,4536,3506,0.3185626102,0.2270723104
46,4536,6866,5392,0.3393533353,0.214681037
47,6866,8078,8059,0.1500371379,0.0023520673
48,8078,12251,9965,0.3406252551,0.1865970125
49,12251,14484,14022,0.1541701188,0.0318972659
50,14484,16307,17176,0.1117924818,0.0532899982
51,16307,18437,19510,0.1155285567,0.0581981884
52,18437,22012,20465,0.162411412,0.0702798474
53,22012,25997,23988,0.1532869177,0.0772781475
54,25997,36459,28849,0.2869524672,0.2087276118
55,36459,55589,40239,0.344132832,0.2761337675
56,55589,76192,62812,0.2704089668,0.1756089878
57,76192,68977,90988,0.1046000841,0.3191063688
58,68977,82345,88843,0.1623413686,0.0789118951
59,82345,92347,89039,0.1083088785,0.0358214127
60,92347,109670,95423,0.1579556852,0.1299079055
61,109670,157416,121355,0.3033109722,0.2290809066
62,157416,244112,171078,0.3551484564,0.2991823425
63,244112,434877,276646,0.438664266,0.3638523077
64,434877,567269,502098,0.2333848668,0.1148855305
65,567269,876954,705999,0.3531371087,0.1949418099
66,876955,1379192,1038533,0.3641530693,0.2469989675
67,1379192,1563027,1600232,0.1176147309,0.0238031717
68,1563027,1690895,1968991,0.0756214904,0.1644667469
69,1690895,1888786,2033932,0.1047715305,0.0768461859
70,1888786,1805700,2044639,0.0460131805,0.1323248602
71,1805702,1777774,1968581,0.0157095334,0.1073291656
72,1777776,1755425,1835178,0.0127325292,0.0454323027
73,1755426,1689334,1699919,0.0391231101,0.0062657828
74,1689336,1468195,1664197,0.1506210006,0.1334986156
75,1468196,1203461,1423975,0.2199780467,0.1832331916
76,1203462,1192497,1059846,0.0091949917,0.1112380157
77,1192498,1090715,949560,0.0933176861,0.1294151084
78,1090716,1155038,952867,0.0556882111,0.1750340681
79,1155038,1159929,1098666,0.0042166374,0.0528161637
80,1159929,1250757,1141200,0.0726184223,0.0875925539
81,1250759,1307728,1285364,0.0435633404,0.0171014156
82,1307730,1379647,1355587,0.0521271021,0.0174392435
83,1379648,1376302,1453547,0.0024311525,0.0561250365
84,1376303,1496978,1440747,0.0806124071,0.0375630103
85,1496979,1498294,1531265,0.0008776649,0.0220056945
86,1498295,1626553,1556960,0.0788526411,0.0427855717
87,1626554,1577913,1687550,0.0308261609,0.0694822845
88,1577914,1508589,1642701,0.0459535367,0.0888989645
